Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Jamie Shackleton,13,3,461,0,0,206,88.3,0,0,0,0
Pablo Hernández,16,3,427,0,2,391,74.2,0,0,1,0
Kiko Casilla,3,3,270,0,0,94,87.2,0,0,0,0
Gaetano Berardi,2,1,113,0,0,56,82.1,0,0,0,0
Ian Carlo Poveda,14,0,355,0,0,117,73.5,0,0,0,0
Niall Huggins,1,0,38,0,0,23,73.9,0,0,0,0
Leif Davis,2,0,33,0,0,19,84.2,0,0,0,0
Michael Keane,35,33,2991,3,1,1835,88.9,0,0,4,0
Richarlison,34,33,2861,7,3,772,69.2,1,1,4,1
Dominic Calvert-Lewin,33,32,2871,16,0,669,71.6,0,0,3,0
Jordan Pickford,31,31,2742,0,0,1152,66.1,0,0,1,0
Lucas Digne,30,30,2681,0,7,1690,72.5,0,0,2,1
Ben Godfrey,31,29,2685,0,2,1302,84.6,0,0,4,0
Abdoulaye Doucouré,29,29,2443,2,3,1332,86,0,0,6,0
Mason Holgate,28,26,2287,1,0,1200,78.8,0,0,9,0
Gylfi Sigurðsson,36,24,2253,6,5,947,79.1,3,4,2,0
Allan,24,23,2051,0,0,1048,85.8,0,0,6,0
Yerry Mina,24,23,1937,2,0,1227,90.9,0,0,2,0
James Rodríguez,23,21,1764,6,4,1111,79.1,0,0,4,0
Séamus Coleman,25,18,1613,0,3,766,81.5,0,0,0,0
André Gomes,28,17,1570,0,1,901,83.2,0,0,3,0
Alex Iwobi,30,17,1542,1,2,688,77,0,0,0,0
Tom Davies,25,17,1423,0,1,684,83.8,0,0,3,0
Robin Olsen,7,7,630,0,0,199,71.4,0,0,1,0
Bernard,12,3,455,1,0,272,79.4,0,0,2,0
Fabian Delph,8,2,266,0,0,234,88,0,0,1,0
Anthony Gordon,3,1,88,0,0,26,84.6,0,0,0,0
Niels Nkounkou,2,1,81,0,0,34,79.4,0,0,1,0
Jonjoe Kenny,4,1,79,0,0,61,77,0,0,0,0
Joshua King,11,0,148,0,0,48,70.8,0,0,0,0
Cenk Tosun,5,0,48,0,0,10,80,0,0,1,0
João Virgínia,1,0,48,0,0,17,52.9,0,0,0,0
Moise Kean,2,0,15,0,0,9,77.8,0,0,0,0
Theo Walcott,1,0,13,0,0,1,100,0,0,0,0
Jean-Philippe Gbamin,1,0,12,0,0,9,66.7,0,0,0,0
Nathan Broadhead,1,0,3,0,0,2,100,0,0,0,0
Emiliano Martínez,38,38,3420,0,0,1295,65.6,0,0,1,0
Matt Targett,38,38,3404,0,2,2147,77,0,0,7,0
John McGinn,37,37,3330,3,5,1398,77.3,0,0,12,0
Ollie Watkins,37,37,3328,14,5,832,72.8,1,2,4,1
Tyrone Mings,36,36,3194,2,2,1585,79.6,0,0,6,1
Ezri Konsa,36,35,3196,2,0,1244,86.5,0,0,3,0
Douglas Luiz,33,32,2781,0,2,1431,84.8,0,0,10,1
Bertrand Traoré,36,29,2317,7,6,796,71.2,0,0,1,0
Matty Cash,28,28,2372,0,2,1298,73.9,0,0,8,1
Jack Grealish,26,24,2185,6,10,1100,78.5,0,0,6,0
Ross Barkley,24,18,1531,3,1,764,81,0,0,0,0
Anwar El Ghazi,28,17,1613,10,0,613,70.5,4,4,2,0
Trézéguet,21,12,1166,2,1,328,69.5,0,0,0,0
Marvelous Nakamba,13,9,749,0,0,273,85.7,0,0,3,0
Ahmed Elmohamady,14,8,839,0,0,594,78.1,0,0,2,0
Kortney Hause,7,7,630,1,0,216,78.2,0,0,2,0
Jacob Ramsey,22,6,626,0,0,220,85.5,0,0,0,0
Morgan Sanson,9,3,294,0,0,161,75.8,0,0,3,0
Conor Hourihane,4,3,225,1,1,155,74.8,0,0,0,0
Keinan Davis,15,1,277,1,1,79,73.4,0,0,0,0
Carney Chukwuemeka,2,0,20,0,0,8,62.5,0,0,0,0
Wesley Moraes,3,0,18,0,0,4,100,0,0,0,0
Neil Taylor,1,0,16,0,0,11,90.9,0,0,1,0
Jaden Philogene Bidace,1,0,1,0,0,4,50,0,0,0,0
Jonjo Shelvey,30,29,2617,1,3,1417,73.8,0,0,7,0
Miguel Almirón,34,28,2429,4,1,877,81.1,0,0,3,0
Karl Darlow,25,25,2250,0,0,726,50.1,0,0,3,0
Federico Fernández,24,24,2079,0,0,837,80.2,0,0,4,0
Callum Wilson,26,23,2084,12,5,366,69.7,4,4,2,0
Joelinton,31,23,1983,4,2,590,73.9,1,1,3,0
Isaac Hayden,24,22,1942,0,0,790,79.6,0,0,8,0
Ciaran Clark,22,21,1891,1,0,747,83,0,0,3,0
Jamal Lewis,24,20,1837,0,1,833,76.2,0,0,4,0
Jamaal Lascelles,19,19,1625,2,0,599,81.3,0,0,4,0
Allan Saint-Maximin,25,19,1560,3,4,436,79.8,0,0,0,0
Jacob Murphy,26,17,1626,2,3,608,68.4,0,0,3,0
Jeff Hendrick,22,17,1422,2,1,533,80.5,0,0,3,1
Sean Longstaff,22,15,1412,0,1,571,79,0,0,2,0
Matt Ritchie,18,15,1350,0,2,607,67.7,0,0,2,0
Emil Krafth,16,14,1288,1,0,557,72.5,0,0,4,0
Paul Dummett,15,14,1255,1,0,534,76.8,0,0,2,0
Fabian Schär,18,13,1246,1,0,583,77.7,1,1,4,1
Martin Dúbravka,13,13,1170,0,0,427,72.6,0,0,0,0
Joe Willock,14,11,978,8,0,235,77,0,1,0,0
Javier Manquillo,13,10,825,0,0,400,74,0,0,1,0
Ryan Fraser,18,9,928,0,2,369,65.9,0,0,2,1
DeAndre Yedlin,6,5,436,0,0,172,64.5,0,0,0,0
Dwight Gayle,18,4,514,1,1,114,79.8,0,0,0,0
Andy Carroll,18,4,392,1,0,141,63.1,0,0,1,0
Matthew Longstaff,5,4,377,0,0,148,79.1,0,0,0,0
Elliot Anderson,1,0,4,0,0,1,100,0,0,0,0
Rui Patrício,37,37,3329,0,0,801,66.7,0,0,1,0
Conor Coady,37,37,3303,1,0,1789,88.1,0,0,5,0
Nélson Semedo,34,34,2983,1,1,1892,81.4,0,0,5,0
Rúben Neves,36,31,2675,5,1,1937,84.3,3,3,8,0
Pedro Neto,31,30,2550,5,6,1212,78.8,0,0,4,0
Adama Traoré,37,28,2649,2,2,879,65.9,0,0,4,0
João Moutinho,33,28,2528,1,1,1817,84.8,0,0,5,1
Leander Dendoncker,33,28,2503,1,0,1162,87.9,0,0,4,0
Romain Saïss,27,27,2407,3,0,1411,82,0,0,2,0
