Name,Nationality,Age,Club,Position
Matthew Longstaff,ENG,20,Newcastle United,MF
Elliot Anderson,SCO,17,Newcastle United,MF
Rui Patrício,POR,32,Wolverhampton Wanderers,GK
Conor Coady,ENG,27,Wolverhampton Wanderers,DF
Nélson Semedo,POR,26,Wolverhampton Wanderers,DF
Rúben Neves,POR,23,Wolverhampton Wanderers,MF
Pedro Neto,POR,20,Wolverhampton Wanderers,"FW,MF"
Adama Traoré,ESP,24,Wolverhampton Wanderers,FW
João Moutinho,POR,33,Wolverhampton Wanderers,MF
Leander Dendoncker,BEL,25,Wolverhampton Wanderers,"MF,DF"
Romain Saïss,MAR,30,Wolverhampton Wanderers,DF
Daniel Podence,POR,24,Wolverhampton Wanderers,"MF,FW"
Willy Boly,CIV,29,Wolverhampton Wanderers,DF
Rayan Aït Nouri,FRA,19,Wolverhampton Wanderers,DF
Max Kilman,ENG,23,Wolverhampton Wanderers,DF
Willian José,BRA,28,Wolverhampton Wanderers,FW
Fábio Silva,POR,18,Wolverhampton Wanderers,FW
Raúl Jiménez,MEX,29,Wolverhampton Wanderers,FW
Fernando Marçal,BRA,31,Wolverhampton Wanderers,DF
Jonny Castro,ESP,26,Wolverhampton Wanderers,DF
Ki-Jana Hoever,NED,18,Wolverhampton Wanderers,DF
Vitinha,POR,20,Wolverhampton Wanderers,MF
Morgan Gibbs-White,ENG,20,Wolverhampton Wanderers,"FW,MF"
Owen Otasowie,USA,19,Wolverhampton Wanderers,"MF,FW"
Rúben Vinagre,POR,21,Wolverhampton Wanderers,DF
John Ruddy,ENG,33,Wolverhampton Wanderers,GK
Patrick Cutrone,ITA,22,Wolverhampton Wanderers,"FW,MF"
Oskar Buur,DEN,22,Wolverhampton Wanderers,DF
Theo Corbeanu,CAN,18,Wolverhampton Wanderers,FW
Vicente Guaita,ESP,33,Crystal Palace,GK
Cheikhou Kouyaté,SEN,30,Crystal Palace,DF
Wilfried Zaha,CIV,27,Crystal Palace,FW
Eberechi Eze,ENG,22,Crystal Palace,MF
Luka Milivojević,SRB,29,Crystal Palace,MF
Andros Townsend,ENG,29,Crystal Palace,"MF,FW"
Joel Ward,ENG,30,Crystal Palace,DF
Jordan Ayew,GHA,28,Crystal Palace,"FW,MF"
Christian Benteke,BEL,29,Crystal Palace,FW
Gary Cahill,ENG,34,Crystal Palace,DF
Patrick van Aanholt,NED,29,Crystal Palace,DF
Jaïro Riedewald,NED,23,Crystal Palace,MF
Tyrick Mitchell,ENG,20,Crystal Palace,DF
James McArthur,SCO,32,Crystal Palace,MF
Jeffrey Schlupp,GHA,27,Crystal Palace,MF
Scott Dann,ENG,33,Crystal Palace,DF
Nathaniel Clyne,ENG,29,Crystal Palace,DF
James McCarthy,IRL,29,Crystal Palace,MF
Michy Batshuayi,BEL,26,Crystal Palace,FW
James Tomkins,ENG,31,Crystal Palace,DF
Mamadou Sakho,FRA,30,Crystal Palace,DF
Jean-Philippe Mateta,FRA,23,Crystal Palace,FW
Jack Butland,ENG,27,Crystal Palace,GK
Martin Kelly,ENG,30,Crystal Palace,DF
James Ward-Prowse,ENG,25,Southampton,MF
Jan Bednarek,POL,24,Southampton,DF
Stuart Armstrong,SCO,28,Southampton,MF
Alex McCarthy,ENG,30,Southampton,GK
Che Adams,SCO,24,Southampton,FW
Kyle Walker-Peters,ENG,23,Southampton,DF
Ryan Bertrand,ENG,30,Southampton,DF
Jannik Vestergaard,DEN,27,Southampton,DF
